admin2,admin2id,longitude,latitude,village_id,vector_01
"Boromo",830,-3.064565,11.64395,26,2
"Boromo",830,-3.008615,11.80671,32,2
"Boromo",830,-3.21923,11.52123,30,2
"Boromo",830,-2.784966,11.29003,27,1
"Boromo",830,-2.801612,11.61233,33,1
"Boromo",830,-2.784413,11.38234,31,1
"Boromo",830,-3.262453,11.63101,34,1
"Boromo",830,-3.043338,11.99285,29,2
"Boromo",830,-2.582328,11.42527,28,2
"Boulsa",831,-.5646009,13.237,210,2
"Boulsa",831,-.3595786,12.65756,216,2
"Boulsa",831,-.4737438,12.95406,209,1
"Boulsa",831,-.5231618,13.52081,204,1
"Boulsa",831,-.2619749,12.74224,207,1
"Boulsa",831,-.3456123,12.54772,211,2
"Boulsa",831,-.7319599,13.64745,208,2
"Boulsa",831,-.4795494,12.64823,205,2
"Boulsa",831,-.2754956,13.58406,206,1
"Boulsa",831,-.3754031,13.51433,214,1
"Boulsa",831,-.634289,12.80204,215,2
"Boulsa",831,-.5625368,13.07107,213,2
"Boussee",832,-2.026102,12.33133,61,1
"Boussee",832,-1.759365,12.41031,59,1
"Boussee",832,-1.854861,12.42624,60,2
"Boussee",832,-1.951005,12.7503,58,2
"Dande",833,-4.202687,11.89597,411,2
"Dande",833,-4.216161,11.68435,408,2
"Dande",833,-4.40366,11.67248,406,2
"Dande",833,-4.552338,12.00113,410,1
"Dande",833,-4.548064,11.79983,405,2
"Dande",833,-4.52635,11.52185,409,1
"Dano",834,-3.133231,10.8878,418,2
"Dano",834,-3.215657,11.27053,414,2
"Dano",834,-2.92945,11.2961,412,1
"Dano",834,-3.051651,10.96809,415,2
"Dano",834,-2.930322,10.85027,416,2
"Dano",834,-3.349094,11.12879,417,2
"Dano",834,-3.132061,11.31778,413,2
"Dedougou",835,-3.882284,12.09536,48,1
"Dedougou",835,-3.157021,11.93889,46,1
"Dedougou",835,-3.727072,12.12005,40,1
"Dedougou",835,-3.636761,12.12447,45,1
"Dedougou",835,-3.948592,11.89514,43,1
"Dedougou",835,-3.594098,12.35029,41,1
"Dedougou",835,-2.936864,12.25698,38,1
"Dedougou",835,-3.510888,12.62261,36,1
"Dedougou",835,-3.765638,11.93525,44,1
"Dedougou",835,-3.721888,11.80086,47,1
"Dedougou",835,-3.119688,12.20096,37,1
"Dedougou",835,-3.291292,12.29039,35,1
"Dedougou",835,-3.371921,12.37427,39,1
"Diapaga",836,1.413769,11.76571,263,1
"Diapaga",836,1.773476,12.13752,254,2
"Diapaga",836,1.415711,11.54006,245,2
"Diapaga",836,1.255299,12.30998,267,1
"Diapaga",836,1.560579,12.41779,256,2
"Diapaga",836,2.066783,12.25388,246,1
"Diapaga",836,1.810118,11.92037,250,2
"Diapaga",836,1.805227,11.81756,266,2
"Diapaga",836,1.915328,12.43658,261,1
"Diapaga",836,2.034711,12.53279,251,2
"Diapaga",836,1.391808,11.64257,255,2
"Diapaga",836,1.243889,11.6233,258,2
"Diapaga",836,1.699159,11.43969,247,1
"Diapaga",836,1.946796,11.69311,265,2
"Diapaga",836,1.319163,11.70413,259,1
"Diapaga",836,1.984671,11.49409,249,1
"Diapaga",836,1.897151,12.33737,260,1
"Diapaga",836,1.989433,12.01387,248,1
"Diapaga",836,1.790466,12.45753,244,1
"Diapaga",836,2.39301,11.88072,252,1
"Diapaga",836,1.833363,12.25857,264,1
"Diapaga",836,1.494549,11.64668,243,1
"Diapaga",836,2.221891,11.72429,240,2
"Diapaga",836,2.084483,12.10619,257,2
"Diapaga",836,1.358536,12.57192,253,1
"Diapaga",836,1.533653,11.47063,262,1
"Diapaga",836,1.901474,11.59215,242,1
"Diebougou",837,-3.488805,10.88403,420,1
"Diebougou",837,-3.731086,10.73296,422,1
"Diebougou",837,-3.371832,10.87516,423,1
"Diebougou",837,-3.475863,10.78439,421,2
"Diebougou",837,-3.262817,10.72159,419,1
"Djibo",838,-1.726494,14.12054,301,1
"Djibo",838,-1.477323,13.88823,295,1
"Djibo",838,-1.059306,14.23487,296,1
"Djibo",838,-.8813526,14.36869,290,1
"Djibo",838,-1.077676,13.98579,287,1
"Djibo",838,-.8159258,13.895,308,1
"Djibo",838,-.9362432,14.5107,305,2
"Djibo",838,-.7972208,14.41269,292,2
"Djibo",838,-.8789681,14.60101,291,2
"Djibo",838,-1.052525,14.4857,294,1
"Djibo",838,-.676586,14.1598,288,2
"Djibo",838,-.9589999,14.19629,309,1
"Djibo",838,-1.425958,14.21204,299,2
"Djibo",838,-1.421236,14.39508,306,2
"Djibo",838,-1.084091,14.64551,297,2
"Djibo",838,-1.705043,14.25238,293,2
"Djibo",838,-1.746375,14.40205,300,1
"Djibo",838,-.7169229,14.26939,302,2
"Djibo",838,-1.567915,14.38699,289,1
"Djibo",838,-1.38151,13.94302,307,2
"Djibo",838,-.9388838,14.06048,286,1
"Djibo",838,-2.04494,14.1097,303,2
"Djibo",838,-1.318115,14.09299,304,2
"Dori",839,-.5888204,13.93791,228,2
"Dori",839,-.1168644,13.85284,226,1
"Dori",839,-.2257157,13.6344,229,2
"Dori",839,.3505366,13.78219,227,1
"Dori",839,-.2087561,14.04643,219,2
"Dori",839,-.4579382,13.92684,217,1
"Dori",839,-.213273,13.79807,220,2
"Dori",839,.1850554,13.90902,218,2
"Dori",839,.3924272,13.86495,221,1
"Dori",839,.021519,13.7337,222,2
"Dori",839,-.2353664,14.15844,225,1
"Dori",839,-.1215312,13.67414,224,2
"Dori",839,.2086907,14.00275,223,2
"Fada",840,.3171777,12.10424,176,1
"Fada",840,1.205956,11.95955,178,1
"Fada",840,.955583,12.31733,175,2
"Fada",840,-.0131693,11.96629,186,2
"Fada",840,.2193775,12.25393,185,2
"Fada",840,.297941,11.86524,184,1
"Fada",840,1.198171,12.34268,171,1
"Fada",840,.4217457,11.92267,183,2
"Fada",840,1.296713,11.98776,180,1
"Fada",840,1.075343,12.56301,181,2
"Fada",840,1.183317,12.08205,177,1
"Fada",840,.9060885,11.91118,182,1
"Fada",840,.5801284,12.14479,173,2
"Fada",840,1.247129,11.86168,172,2
"Fada",840,1.126017,12.40821,179,1
"Fada",840,.5250795,11.88104,166,1
"Fada",840,.7138727,12.23452,174,1
"Fada",840,.4801601,11.74001,167,1
"Fada",840,1.069388,12.02587,168,2
"Fada",840,.5180793,12.45568,169,2
"Gaoua",841,-3.459753,10.60307,456,1
"Gaoua",841,-3.208155,10.53189,457,2
"Gaoua",841,-3.596253,10.06744,461,2
"Gaoua",841,-3.365883,10.40286,455,1
"Gaoua",841,-2.961713,10.42883,453,2
"Gaoua",841,-3.741669,10.3689,458,1
"Gaoua",841,-3.507147,10.17356,454,2
"Gaoua",841,-3.004894,10.06438,462,2
"Gaoua",841,-2.978024,10.63038,463,1
"Gaoua",841,-3.031915,10.24954,466,2
"Gaoua",841,-3.053375,10.70703,459,2
"Gaoua",841,-3.698872,10.28369,465,1
"Gaoua",841,-3.910689,10.0806,460,2
"Gayeri",842,1.065362,12.91967,234,1
"Gayeri",842,.5993496,12.61428,238,2
"Gayeri",842,.732234,12.91395,236,1
"Gayeri",842,.369538,12.88841,235,2
"Gayeri",842,.4953019,12.6702,231,2
"Gayeri",842,.3418433,12.55246,239,2
"Gayeri",842,.7258294,12.50787,237,1
"Gayeri",842,.8858311,12.92365,230,2
"Gayeri",842,.8500098,12.70521,233,2
"Gorom",843,-.740482,14.57532,313,1
"Gorom",843,-.534965,14.14423,319,1
"Gorom",843,-.6398176,14.99821,316,2
"Gorom",843,-.3078694,14.71973,310,1
"Gorom",843,-.6119985,14.70529,318,2
"Gorom",843,-.1862978,14.81865,320,1
"Gorom",843,-.5218173,14.30017,312,2
"Gorom",843,.1108067,14.52585,326,1
"Gorom",843,-.5322235,14.91695,311,2
"Gorom",843,-.5459406,14.47942,322,1
"Gorom",843,-.9211101,14.81981,323,1
"Gorom",843,.0919763,14.86878,321,2
"Gorom",843,-.3670354,14.23396,329,1
"Gorom",843,.1092277,14.63553,315,2
"Gorom",843,.0053714,14.45074,314,1
"Gorom",843,-.1661367,14.95928,324,1
"Gorom",843,.0996933,14.35592,317,2
"Gorom",843,-.09028,14.41595,328,1
"Gorom",843,-.371749,14.4349,325,1
"Gourcy",844,-2.191817,13.22628,104,2
"Gourcy",844,-2.317689,13.22156,103,1
"Gourcy",844,-2.365296,13.30624,105,1
"Gourcy",844,-2.147921,13.06953,102,1
"Hounde",845,-2.888465,11.31317,358,1
"Hounde",845,-3.630031,10.98156,363,2
"Hounde",845,-3.700023,11.73224,360,2
"Hounde",845,-3.334465,11.2065,366,1
"Hounde",845,-3.836609,11.58106,356,2
"Hounde",845,-3.537453,11.57368,357,2
"Hounde",845,-3.740331,11.15736,361,2
"Hounde",845,-3.634375,11.42928,362,2
"Hounde",845,-3.721978,11.60689,364,1
"Hounde",845,-3.656339,11.23707,365,1
"Hounde",845,-3.389999,11.28696,359,1
"Kaya",846,-.9685504,13.10373,84,1
"Kaya",846,-.7763419,13.39173,83,1
"Kaya",846,-.9517702,13.34362,81,1
"Kaya",846,-.9183596,13.02377,78,1
"Kaya",846,-1.217866,13.03464,82,1
"Kaya",846,-.9587547,12.78927,80,1
